CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python /home/runner/work/pykappa/pykappa/profiling/profile.py --run uni_bi_small
MEM 0.261719 1785422073.5654
MEM 36.773438 1785422073.6668
MEM 61.960938 1785422073.7670
MEM 80.386719 1785422073.8673
MEM 91.417969 1785422073.9675
MEM 98.277344 1785422074.0678
MEM 100.109375 1785422074.1680
MEM 102.664062 1785422074.2683
MEM 102.871094 1785422074.3686
MEM 104.382812 1785422074.4689
MEM 105.230469 1785422074.5692
MEM 105.230469 1785422074.6695
MEM 105.230469 1785422074.7698
MEM 105.234375 1785422074.8701
MEM 105.234375 1785422074.9703
MEM 105.234375 1785422075.0706
MEM 105.242188 1785422075.1709
MEM 105.246094 1785422075.2711
MEM 105.253906 1785422075.3714
MEM 105.257812 1785422075.4717
MEM 105.265625 1785422075.5719
MEM 105.269531 1785422075.6722
MEM 105.277344 1785422075.7725
MEM 105.285156 1785422075.8727
MEM 105.292969 1785422075.9730
MEM 105.300781 1785422076.0732
MEM 105.308594 1785422076.1735
MEM 105.316406 1785422076.2737
MEM 105.320312 1785422076.3740
MEM 105.328125 1785422076.4743
MEM 105.332031 1785422076.5746
MEM 105.339844 1785422076.6748
MEM 105.343750 1785422076.7751
MEM 105.351562 1785422076.8753
MEM 105.355469 1785422076.9756
MEM 105.363281 1785422077.0759
MEM 105.371094 1785422077.1762
MEM 105.375000 1785422077.2765
MEM 105.382812 1785422077.3768
MEM 105.382812 1785422077.4771
MEM 105.390625 1785422077.5774
MEM 105.398438 1785422077.6777
MEM 105.406250 1785422077.7780
MEM 105.414062 1785422077.8783
MEM 105.417969 1785422077.9785
MEM 105.425781 1785422078.0788
MEM 105.433594 1785422078.1791
MEM 105.437500 1785422078.2794
MEM 105.445312 1785422078.3797
MEM 105.449219 1785422078.4800
MEM 105.449219 1785422078.5803
MEM 105.449219 1785422078.6806
MEM 105.449219 1785422078.7809
MEM 105.449219 1785422078.8812
MEM 105.449219 1785422078.9815
MEM 105.457031 1785422079.0818
MEM 105.457031 1785422079.1820
MEM 105.457031 1785422079.2823
MEM 105.457031 1785422079.3826
MEM 105.457031 1785422079.4829
MEM 105.457031 1785422079.5832
MEM 105.457031 1785422079.6835
MEM 105.457031 1785422079.7838
MEM 105.457031 1785422079.8841
MEM 105.457031 1785422079.9843
MEM 105.460938 1785422080.0846
MEM 105.464844 1785422080.1849
MEM 105.468750 1785422080.2852
MEM 105.472656 1785422080.3854
MEM 105.476562 1785422080.4857
MEM 105.484375 1785422080.5860
MEM 105.484375 1785422080.6863
MEM 105.484375 1785422080.7866
MEM 105.484375 1785422080.8869
MEM 105.484375 1785422080.9871
MEM 105.484375 1785422081.0874
MEM 105.484375 1785422081.1877
MEM 105.484375 1785422081.2880
MEM 105.484375 1785422081.3883
MEM 105.484375 1785422081.4886
MEM 105.484375 1785422081.5889
MEM 105.484375 1785422081.6892
MEM 105.484375 1785422081.7895
MEM 105.484375 1785422081.8897
MEM 105.484375 1785422081.9900
MEM 105.484375 1785422082.0903
MEM 105.484375 1785422082.1906
MEM 105.484375 1785422082.2909
MEM 105.488281 1785422082.3912
MEM 105.500000 1785422082.4914
MEM 105.503906 1785422082.5917
MEM 105.507812 1785422082.6920
MEM 105.515625 1785422082.7923
MEM 105.519531 1785422082.8926
MEM 105.523438 1785422082.9929
MEM 105.527344 1785422083.0932
MEM 105.539062 1785422083.1935
MEM 105.546875 1785422083.2938
MEM 105.550781 1785422083.3940
MEM 105.550781 1785422083.4943
MEM 105.558594 1785422083.5946
MEM 102.585938 1785422083.6949
