CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.453125 1771259056.6936
MEM 26.894531 1771259056.7938
MEM 29.355469 1771259056.8940
MEM 30.214844 1771259056.9942
MEM 32.796875 1771259057.0944
MEM 34.089844 1771259057.1946
MEM 42.589844 1771259057.2951
MEM 44.148438 1771259057.3952
MEM 49.339844 1771259057.4955
MEM 52.148438 1771259057.5958
MEM 60.539062 1771259057.6960
MEM 71.632812 1771259057.7963
MEM 72.722656 1771259057.8965
MEM 74.308594 1771259057.9967
MEM 85.050781 1771259058.0970
MEM 85.371094 1771259058.1972
MEM 85.406250 1771259058.2973
MEM 86.089844 1771259058.3975
MEM 87.406250 1771259058.4976
MEM 89.804688 1771259058.5978
MEM 93.238281 1771259058.6981
MEM 95.585938 1771259058.7983
MEM 102.472656 1771259058.8985
MEM 105.898438 1771259058.9987
MEM 106.738281 1771259059.0989
MEM 107.371094 1771259059.1991
MEM 107.371094 1771259059.2994
MEM 107.816406 1771259059.3996
MEM 108.855469 1771259059.4998
MEM 112.882812 1771259059.6001
MEM 114.296875 1771259059.7003
MEM 118.863281 1771259059.8005
MEM 120.003906 1771259059.9007
MEM 120.042969 1771259060.0010
MEM 120.433594 1771259060.1012
MEM 121.343750 1771259060.2015
MEM 124.433594 1771259060.3017
MEM 124.636719 1771259060.4021
MEM 124.703125 1771259060.5023
MEM 124.769531 1771259060.6029
MEM 124.800781 1771259060.7031
MEM 120.914062 1771259060.8034
