CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.261719 1776963747.9255
MEM 34.242188 1776963748.0258
MEM 47.984375 1776963748.1260
MEM 67.421875 1776963748.2262
MEM 86.128906 1776963748.3264
MEM 92.625000 1776963748.4267
MEM 99.695312 1776963748.5270
MEM 101.585938 1776963748.6272
MEM 104.476562 1776963748.7275
MEM 104.476562 1776963748.8279
MEM 104.546875 1776963748.9282
MEM 104.750000 1776963749.0285
MEM 105.476562 1776963749.1287
MEM 106.820312 1776963749.2290
MEM 106.820312 1776963749.3294
MEM 106.820312 1776963749.4297
MEM 106.820312 1776963749.5300
MEM 106.820312 1776963749.6303
MEM 106.820312 1776963749.7306
MEM 106.820312 1776963749.8309
MEM 106.820312 1776963749.9313
MEM 106.820312 1776963750.0315
MEM 106.820312 1776963750.1318
MEM 106.820312 1776963750.2321
MEM 106.820312 1776963750.3324
MEM 106.820312 1776963750.4327
MEM 106.820312 1776963750.5330
MEM 106.820312 1776963750.6333
MEM 106.820312 1776963750.7336
MEM 106.820312 1776963750.8340
MEM 106.820312 1776963750.9342
MEM 106.820312 1776963751.0345
MEM 106.820312 1776963751.1349
MEM 106.820312 1776963751.2352
MEM 106.820312 1776963751.3355
MEM 106.820312 1776963751.4357
MEM 106.820312 1776963751.5360
MEM 106.820312 1776963751.6363
MEM 106.820312 1776963751.7366
MEM 106.820312 1776963751.8369
MEM 106.820312 1776963751.9372
MEM 106.820312 1776963752.0374
MEM 106.820312 1776963752.1377
MEM 106.820312 1776963752.2380
MEM 106.820312 1776963752.3383
MEM 106.820312 1776963752.4386
MEM 106.820312 1776963752.5389
MEM 106.820312 1776963752.6392
MEM 106.820312 1776963752.7395
MEM 106.820312 1776963752.8399
MEM 106.820312 1776963752.9401
MEM 106.820312 1776963753.0405
MEM 106.820312 1776963753.1408
MEM 106.820312 1776963753.2410
MEM 106.820312 1776963753.3413
MEM 106.820312 1776963753.4416
MEM 106.820312 1776963753.5419
MEM 106.820312 1776963753.6422
MEM 106.820312 1776963753.7425
MEM 106.820312 1776963753.8427
MEM 106.820312 1776963753.9430
MEM 106.820312 1776963754.0433
MEM 106.820312 1776963754.1436
