CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.261719 1771280656.0203
MEM 26.515625 1771280656.1206
MEM 29.785156 1771280656.2208
MEM 32.738281 1771280656.3210
MEM 33.054688 1771280656.4212
MEM 33.054688 1771280656.5214
MEM 36.429688 1771280656.6216
MEM 43.730469 1771280656.7226
MEM 49.628906 1771280656.8227
MEM 57.234375 1771280656.9229
MEM 63.984375 1771280657.0232
MEM 71.953125 1771280657.1234
MEM 72.480469 1771280657.2236
MEM 76.015625 1771280657.3238
MEM 83.492188 1771280657.4241
MEM 85.101562 1771280657.5243
MEM 85.558594 1771280657.6246
MEM 86.152344 1771280657.7248
MEM 87.531250 1771280657.8250
MEM 89.312500 1771280657.9253
MEM 92.019531 1771280658.0255
MEM 95.347656 1771280658.1258
MEM 102.277344 1771280658.2260
MEM 107.718750 1771280658.3263
MEM 106.496094 1771280658.4265
MEM 107.113281 1771280658.5267
MEM 107.113281 1771280658.6270
MEM 107.179688 1771280658.7272
MEM 107.535156 1771280658.8274
MEM 107.535156 1771280658.9276
MEM 107.535156 1771280659.0279
MEM 107.535156 1771280659.1281
MEM 107.535156 1771280659.2284
MEM 107.535156 1771280659.3286
MEM 107.656250 1771280659.4288
MEM 111.421875 1771280659.5290
MEM 112.574219 1771280659.6293
MEM 118.468750 1771280659.7295
MEM 118.835938 1771280659.8297
MEM 119.609375 1771280659.9299
MEM 119.648438 1771280660.0302
