CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.128906 1767720114.6352
MEM 26.820312 1767720114.7354
MEM 29.496094 1767720114.8356
MEM 30.625000 1767720114.9359
MEM 33.250000 1767720115.0361
MEM 34.500000 1767720115.1363
MEM 42.628906 1767720115.2389
MEM 44.152344 1767720115.3391
MEM 49.656250 1767720115.4393
MEM 54.816406 1767720115.5394
MEM 59.054688 1767720115.6397
MEM 71.644531 1767720115.7399
MEM 72.093750 1767720115.8401
MEM 73.207031 1767720115.9403
MEM 83.660156 1767720116.0406
MEM 84.726562 1767720116.1409
MEM 84.851562 1767720116.2412
MEM 85.699219 1767720116.3414
MEM 87.496094 1767720116.4416
MEM 87.941406 1767720116.5419
MEM 91.332031 1767720116.6422
MEM 93.585938 1767720116.7424
MEM 95.507812 1767720116.8427
MEM 102.433594 1767720116.9430
MEM 105.929688 1767720117.0433
MEM 106.718750 1767720117.1436
MEM 107.285156 1767720117.2439
MEM 107.285156 1767720117.3441
MEM 107.285156 1767720117.4444
MEM 107.285156 1767720117.5447
MEM 107.285156 1767720117.6449
MEM 107.285156 1767720117.7451
MEM 107.285156 1767720117.8453
MEM 107.285156 1767720117.9455
MEM 107.285156 1767720118.0457
MEM 107.285156 1767720118.1460
MEM 107.285156 1767720118.2462
MEM 107.285156 1767720118.3464
MEM 107.285156 1767720118.4467
MEM 107.285156 1767720118.5470
MEM 107.285156 1767720118.6472
MEM 110.691406 1767720118.7475
MEM 112.566406 1767720118.8478
MEM 113.941406 1767720118.9482
MEM 118.566406 1767720119.0484
MEM 119.691406 1767720119.1487
MEM 119.816406 1767720119.2489
MEM 120.066406 1767720119.3492
MEM 120.816406 1767720119.4494
MEM 123.941406 1767720119.5496
MEM 124.316406 1767720119.6499
MEM 124.441406 1767720119.7501
MEM 124.441406 1767720119.8503
MEM 124.566406 1767720119.9505
MEM 122.695312 1767720120.0509
