CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python /home/runner/work/pykappa/pykappa/profiling/profile.py --run ktam
MEM 0.257812 1785943967.3451
MEM 42.886719 1785943967.4472
MEM 68.199219 1785943967.5473
MEM 87.828125 1785943967.6475
MEM 95.878906 1785943967.7477
MEM 101.191406 1785943967.8479
MEM 101.730469 1785943967.9482
MEM 101.742188 1785943968.0484
MEM 101.742188 1785943968.1487
MEM 101.792969 1785943968.2490
MEM 101.859375 1785943968.3492
MEM 101.890625 1785943968.4494
MEM 101.914062 1785943968.5497
MEM 101.933594 1785943968.6499
MEM 101.953125 1785943968.7502
MEM 101.968750 1785943968.8504
MEM 101.988281 1785943968.9507
MEM 102.007812 1785943969.0509
MEM 102.023438 1785943969.1512
MEM 102.039062 1785943969.2514
MEM 102.054688 1785943969.3517
MEM 102.070312 1785943969.4519
MEM 102.085938 1785943969.5522
MEM 102.097656 1785943969.6525
MEM 102.117188 1785943969.7527
MEM 102.140625 1785943969.8530
MEM 102.160156 1785943969.9533
MEM 102.179688 1785943970.0536
MEM 102.199219 1785943970.1539
MEM 102.214844 1785943970.2542
MEM 102.242188 1785943970.3545
MEM 102.261719 1785943970.4547
MEM 102.281250 1785943970.5550
MEM 102.300781 1785943970.6552
MEM 102.316406 1785943970.7555
MEM 102.335938 1785943970.8558
MEM 102.355469 1785943970.9562
MEM 102.375000 1785943971.0564
MEM 102.394531 1785943971.1567
MEM 102.410156 1785943971.2571
MEM 102.437500 1785943971.3574
MEM 102.453125 1785943971.4577
MEM 102.464844 1785943971.5579
MEM 102.480469 1785943971.6582
MEM 102.496094 1785943971.7584
MEM 101.539062 1785943971.8588
