CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_ktam.py
MEM 0.492188 1771120710.3080
MEM 32.570312 1771120710.4089
MEM 49.593750 1771120710.5091
MEM 67.957031 1771120710.6093
MEM 82.957031 1771120710.7095
MEM 91.777344 1771120710.8098
MEM 97.429688 1771120710.9101
MEM 102.234375 1771120711.0103
MEM 102.914062 1771120711.1106
MEM 104.429688 1771120711.2108
MEM 104.492188 1771120711.3111
MEM 104.492188 1771120711.4113
MEM 104.496094 1771120711.5115
MEM 104.500000 1771120711.6118
MEM 104.503906 1771120711.7120
MEM 104.503906 1771120711.8122
MEM 104.503906 1771120711.9125
MEM 104.503906 1771120712.0127
MEM 104.503906 1771120712.1129
MEM 104.503906 1771120712.2131
MEM 104.503906 1771120712.3133
MEM 104.503906 1771120712.4135
MEM 104.503906 1771120712.5138
MEM 104.503906 1771120712.6141
MEM 104.503906 1771120712.7143
MEM 104.503906 1771120712.8145
MEM 104.503906 1771120712.9148
MEM 104.503906 1771120713.0150
MEM 104.503906 1771120713.1152
MEM 104.503906 1771120713.2154
MEM 104.503906 1771120713.3157
MEM 104.503906 1771120713.4159
MEM 104.503906 1771120713.5160
MEM 104.503906 1771120713.6163
MEM 104.503906 1771120713.7165
MEM 104.515625 1771120713.8168
MEM 104.515625 1771120713.9170
MEM 104.515625 1771120714.0172
MEM 104.515625 1771120714.1174
MEM 104.515625 1771120714.2177
MEM 104.515625 1771120714.3179
MEM 104.515625 1771120714.4181
MEM 104.515625 1771120714.5183
MEM 104.515625 1771120714.6185
MEM 104.523438 1771120714.7187
MEM 104.523438 1771120714.8189
MEM 104.539062 1771120714.9192
MEM 104.539062 1771120715.0194
MEM 104.605469 1771120715.1196
MEM 104.605469 1771120715.2198
MEM 104.605469 1771120715.3200
MEM 104.609375 1771120715.4202
MEM 104.609375 1771120715.5204
MEM 104.609375 1771120715.6206
MEM 104.613281 1771120715.7208
MEM 104.613281 1771120715.8211
MEM 104.617188 1771120715.9213
MEM 104.617188 1771120716.0215
MEM 104.617188 1771120716.1217
MEM 104.621094 1771120716.2220
MEM 104.621094 1771120716.3222
MEM 104.625000 1771120716.4224
MEM 104.625000 1771120716.5226
MEM 104.628906 1771120716.6228
MEM 104.628906 1771120716.7231
MEM 104.628906 1771120716.8233
MEM 104.632812 1771120716.9235
MEM 104.632812 1771120717.0238
MEM 104.636719 1771120717.1240
MEM 104.636719 1771120717.2242
MEM 104.636719 1771120717.3244
MEM 104.636719 1771120717.4246
MEM 104.636719 1771120717.5248
MEM 104.644531 1771120717.6251
MEM 104.644531 1771120717.7253
MEM 104.648438 1771120717.8255
MEM 104.648438 1771120717.9257
MEM 104.648438 1771120718.0260
MEM 104.652344 1771120718.1262
MEM 104.652344 1771120718.2264
MEM 104.652344 1771120718.3266
MEM 104.656250 1771120718.4268
MEM 104.656250 1771120718.5271
MEM 104.660156 1771120718.6273
MEM 104.660156 1771120718.7275
MEM 104.664062 1771120718.8278
MEM 104.664062 1771120718.9279
MEM 104.664062 1771120719.0281
MEM 104.664062 1771120719.1283
MEM 104.664062 1771120719.2285
MEM 104.671875 1771120719.3288
MEM 104.671875 1771120719.4290
MEM 104.675781 1771120719.5292
MEM 104.675781 1771120719.6294
MEM 104.675781 1771120719.7296
MEM 104.679688 1771120719.8298
MEM 104.679688 1771120719.9301
MEM 104.683594 1771120720.0303
MEM 104.683594 1771120720.1305
MEM 104.683594 1771120720.2309
