CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python /home/runner/work/pykappa/pykappa/profiling/profile.py --run heterodimerization_small
MEM 0.261719 1786733725.3156
MEM 21.769531 1786733725.4160
MEM 36.031250 1786733725.5163
MEM 52.128906 1786733725.6166
MEM 65.253906 1786733725.7169
MEM 74.664062 1786733725.8172
MEM 87.089844 1786733725.9175
MEM 92.621094 1786733726.0178
MEM 93.261719 1786733726.1181
MEM 93.425781 1786733726.2183
MEM 93.429688 1786733726.3186
MEM 93.429688 1786733726.4189
MEM 93.429688 1786733726.5193
MEM 93.429688 1786733726.6196
MEM 93.429688 1786733726.7199
MEM 93.429688 1786733726.8203
MEM 96.730469 1786733726.9205
MEM 101.765625 1786733727.0208
MEM 106.105469 1786733727.1211
MEM 107.437500 1786733727.2214
MEM 108.367188 1786733727.3218
MEM 110.460938 1786733727.4221
MEM 110.863281 1786733727.5224
MEM 111.199219 1786733727.6228
MEM 111.257812 1786733727.7231
MEM 111.363281 1786733727.8233
MEM 109.429688 1786733727.9237
