CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.128906 1767395444.2546
MEM 26.683594 1767395444.3548
MEM 29.203125 1767395444.4550
MEM 30.023438 1767395444.5552
MEM 32.699219 1767395444.6554
MEM 33.953125 1767395444.7556
MEM 42.472656 1767395444.8559
MEM 43.925781 1767395444.9562
MEM 49.195312 1767395445.0564
MEM 51.492188 1767395445.1566
MEM 58.171875 1767395445.2568
MEM 66.292969 1767395445.3571
MEM 71.996094 1767395445.4573
MEM 73.093750 1767395445.5576
MEM 83.500000 1767395445.6578
MEM 83.531250 1767395445.7581
MEM 85.035156 1767395445.8583
MEM 85.585938 1767395445.9586
MEM 87.007812 1767395446.0588
MEM 87.453125 1767395446.1591
MEM 89.210938 1767395446.2593
MEM 93.070312 1767395446.3594
MEM 94.957031 1767395446.4597
MEM 102.058594 1767395446.5599
MEM 105.445312 1767395446.6602
MEM 106.316406 1767395446.7604
MEM 106.890625 1767395446.8607
MEM 106.890625 1767395446.9609
MEM 106.890625 1767395447.0611
MEM 107.042969 1767395447.1613
MEM 107.042969 1767395447.2615
MEM 107.042969 1767395447.3617
MEM 107.042969 1767395447.4619
MEM 107.042969 1767395447.5620
MEM 107.460938 1767395447.6622
MEM 107.460938 1767395447.7624
MEM 107.460938 1767395447.8626
MEM 110.625000 1767395447.9629
MEM 112.500000 1767395448.0631
MEM 113.875000 1767395448.1634
MEM 118.375000 1767395448.2637
MEM 119.500000 1767395448.3639
MEM 119.500000 1767395448.4641
MEM 119.875000 1767395448.5644
MEM 120.500000 1767395448.6646
MEM 123.750000 1767395448.7648
MEM 124.125000 1767395448.8650
MEM 124.125000 1767395448.9652
MEM 124.250000 1767395449.0655
MEM 124.250000 1767395449.1656
MEM 122.429688 1767395449.2660
