CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python /home/runner/work/pykappa/pykappa/profiling/profile.py --run heterodimerization_small
MEM 0.453125 1785427070.5958
MEM 21.445312 1785427070.6962
MEM 36.058594 1785427070.7980
MEM 51.902344 1785427070.8982
MEM 66.398438 1785427070.9985
MEM 74.777344 1785427071.0988
MEM 74.824219 1785427071.1991
MEM 84.316406 1785427071.2994
MEM 92.210938 1785427071.3996
MEM 92.835938 1785427071.4999
MEM 92.968750 1785427071.6002
MEM 93.050781 1785427071.7005
MEM 94.484375 1785427071.8009
MEM 98.847656 1785427071.9012
MEM 103.140625 1785427072.0015
MEM 106.460938 1785427072.1019
MEM 107.441406 1785427072.2022
MEM 110.808594 1785427072.3025
MEM 111.773438 1785427072.4029
MEM 111.972656 1785427072.5032
MEM 112.117188 1785427072.6036
MEM 112.199219 1785427072.7040
MEM 112.226562 1785427072.8043
MEM 108.300781 1785427072.9047
