CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.257812 1771122722.1144
MEM 26.664062 1771122722.2147
MEM 29.367188 1771122722.3149
MEM 29.933594 1771122722.4152
MEM 32.882812 1771122722.5154
MEM 34.132812 1771122722.6156
MEM 36.136719 1771122722.7158
MEM 44.339844 1771122722.8160
MEM 46.816406 1771122722.9163
MEM 50.949219 1771122723.0165
MEM 57.332031 1771122723.1168
MEM 63.410156 1771122723.2170
MEM 71.015625 1771122723.3173
MEM 71.769531 1771122723.4175
MEM 73.535156 1771122723.5177
MEM 84.906250 1771122723.6181
MEM 84.492188 1771122723.7184
MEM 84.492188 1771122723.8186
MEM 85.703125 1771122723.9189
MEM 87.179688 1771122724.0191
MEM 89.093750 1771122724.1194
MEM 93.390625 1771122724.2197
MEM 93.476562 1771122724.3200
MEM 95.496094 1771122724.4203
MEM 102.250000 1771122724.5205
MEM 105.804688 1771122724.6208
MEM 106.457031 1771122724.7212
MEM 106.718750 1771122724.8214
MEM 107.093750 1771122724.9217
MEM 107.093750 1771122725.0219
MEM 107.160156 1771122725.1221
MEM 107.160156 1771122725.2223
MEM 107.160156 1771122725.3225
MEM 107.160156 1771122725.4227
MEM 107.160156 1771122725.5229
MEM 107.160156 1771122725.6232
MEM 107.160156 1771122725.7234
MEM 107.539062 1771122725.8236
MEM 107.539062 1771122725.9238
MEM 107.539062 1771122726.0240
MEM 107.539062 1771122726.1242
MEM 110.796875 1771122726.2244
MEM 112.621094 1771122726.3246
MEM 114.031250 1771122726.4249
MEM 118.585938 1771122726.5252
MEM 119.726562 1771122726.6254
MEM 119.765625 1771122726.7257
MEM 120.160156 1771122726.8260
MEM 120.972656 1771122726.9263
MEM 124.160156 1771122727.0265
MEM 124.371094 1771122727.1267
MEM 124.453125 1771122727.2270
MEM 124.515625 1771122727.3273
MEM 124.562500 1771122727.4275
MEM 123.011719 1771122727.5278
