CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python /home/runner/work/pykappa/pykappa/profiling/profile.py --run uni_bi_small
MEM 0.257812 1786733607.2155
MEM 28.394531 1786733607.3159
MEM 50.027344 1786733607.4161
MEM 67.558594 1786733607.5165
MEM 80.539062 1786733607.6167
MEM 89.695312 1786733607.7170
MEM 95.500000 1786733607.8174
MEM 100.328125 1786733607.9177
MEM 101.210938 1786733608.0181
MEM 102.648438 1786733608.1184
MEM 102.792969 1786733608.2186
MEM 102.859375 1786733608.3189
MEM 102.906250 1786733608.4193
MEM 102.949219 1786733608.5196
MEM 102.972656 1786733608.6199
MEM 103.007812 1786733608.7202
MEM 103.046875 1786733608.8205
MEM 103.078125 1786733608.9208
MEM 103.097656 1786733609.0212
MEM 103.113281 1786733609.1215
MEM 103.121094 1786733609.2218
MEM 103.132812 1786733609.3222
MEM 103.144531 1786733609.4225
MEM 103.164062 1786733609.5228
MEM 103.171875 1786733609.6232
MEM 103.187500 1786733609.7235
MEM 103.195312 1786733609.8240
MEM 103.214844 1786733609.9243
MEM 103.222656 1786733610.0247
MEM 103.242188 1786733610.1250
MEM 103.253906 1786733610.2253
MEM 103.261719 1786733610.3256
MEM 103.273438 1786733610.4259
MEM 103.289062 1786733610.5262
MEM 103.296875 1786733610.6265
MEM 103.300781 1786733610.7268
MEM 103.308594 1786733610.8271
MEM 103.335938 1786733610.9274
MEM 103.351562 1786733611.0277
MEM 103.363281 1786733611.1280
MEM 103.375000 1786733611.2284
MEM 103.417969 1786733611.3287
MEM 103.503906 1786733611.4290
MEM 103.519531 1786733611.5294
MEM 103.527344 1786733611.6297
MEM 103.546875 1786733611.7300
MEM 103.562500 1786733611.8304
MEM 103.578125 1786733611.9307
MEM 103.585938 1786733612.0310
MEM 103.601562 1786733612.1314
MEM 103.609375 1786733612.2317
MEM 103.625000 1786733612.3320
MEM 103.636719 1786733612.4324
MEM 103.648438 1786733612.5327
MEM 103.660156 1786733612.6330
MEM 103.667969 1786733612.7333
MEM 103.671875 1786733612.8336
MEM 103.687500 1786733612.9339
MEM 103.699219 1786733613.0342
MEM 103.722656 1786733613.1345
MEM 103.734375 1786733613.2348
MEM 103.742188 1786733613.3351
MEM 103.757812 1786733613.4355
MEM 103.773438 1786733613.5358
MEM 103.781250 1786733613.6361
MEM 103.792969 1786733613.7364
MEM 103.804688 1786733613.8367
MEM 103.816406 1786733613.9370
MEM 103.828125 1786733614.0374
MEM 103.839844 1786733614.1377
