engine,ruleset_id,ruleset,agents_per_species,n_runs,n_events,mean_wall_time_s,std_wall_time_s
PyKappa,0,Heterodimerization,10,10,1000,0.3372753492000129,0.07171935595786992
PyKappa,0,Heterodimerization,32,10,1000,0.33025612809999527,0.11921713984469508
PyKappa,0,Heterodimerization,100,10,1000,0.2406555568000158,0.04130072413742841
PyKappa,0,Heterodimerization,316,10,1000,0.298593543399943,0.050759157414551476
PyKappa,0,Heterodimerization,1000,10,1000,0.45735819490002994,0.07913833709362253
PyKappa,0,Heterodimerization,3162,10,1000,0.8204816172999699,0.09712740133975757
PyKappa,0,Heterodimerization,10000,10,1000,1.9366292065000152,0.2227955503359171
PyKappa,0,Heterodimerization,31623,10,1000,5.801967145499975,0.3906112787715923
PyKappa,0,Heterodimerization,100000,10,1000,17.289288573200043,0.6816837723162334
PyKappa,1,Tiling,10,10,1000,0.38003564329999334,0.1790705027874043
PyKappa,1,Tiling,32,10,1000,0.36794565159998455,0.10128631415442692
PyKappa,1,Tiling,100,10,1000,0.29544523400002165,0.04220558525322381
PyKappa,1,Tiling,316,10,1000,0.4003708542999675,0.17122518346163526
PyKappa,1,Tiling,1000,10,1000,0.5202192083999989,0.22393300308487282
PyKappa,1,Tiling,3162,10,1000,0.9049273338999683,0.22447987098614766
PyKappa,1,Tiling,10000,10,1000,1.9395885698000028,0.09193555233346025
PyKappa,1,Tiling,31623,10,1000,5.924667339200004,0.4872424689583749
PyKappa,1,Tiling,100000,10,1000,16.301574623099942,0.3538788761721448
PyKappa,2,Cyclization,10,10,1000,0.3994686057000081,0.2610234841267489
PyKappa,2,Cyclization,32,10,1000,0.4649366440000449,0.23344125619484604
PyKappa,2,Cyclization,100,10,1000,0.5163367523000033,0.03668193738128329
PyKappa,2,Cyclization,316,10,1000,0.6929807376000099,0.06068452044961304
PyKappa,2,Cyclization,1000,10,1000,0.601597040300021,0.046656640106659625
PyKappa,2,Cyclization,3162,10,1000,1.8273753954999847,0.523760598687184
PyKappa,2,Cyclization,10000,10,1000,5.0123868788000205,0.5880001915396446
PyKappa,2,Cyclization,31623,10,1000,24.205375984100034,1.4603754283444998
PyKappa,2,Cyclization,100000,10,1000,66.1364611927,5.6329337560686
KaSim,0,Heterodimerization,10,10,1000,0.01462152219996824,0.0005149107328891397
KaSim,0,Heterodimerization,32,10,1000,0.01485897659999864,0.0007071019342750313
KaSim,0,Heterodimerization,100,10,1000,0.015052892699941367,0.0009157351361018147
KaSim,0,Heterodimerization,316,10,1000,0.01575932229998216,0.0011970102315393904
KaSim,0,Heterodimerization,1000,10,1000,0.018805319900025097,0.0016531141692464695
KaSim,0,Heterodimerization,3162,10,1000,0.023422220900033607,0.0017334231366322392
KaSim,0,Heterodimerization,10000,10,1000,0.04371682119997331,0.007203496421362262
KaSim,0,Heterodimerization,31623,10,1000,0.09928922900003272,0.009612050503696316
KaSim,0,Heterodimerization,100000,10,1000,0.3338819775000047,0.012003884957618357
KaSim,1,Tiling,10,10,1000,0.010282713299989154,0.000821264801343858
KaSim,1,Tiling,32,10,1000,0.009392206000029546,0.0004615666185126119
KaSim,1,Tiling,100,10,1000,0.01013249900001938,0.0007846310013302271
KaSim,1,Tiling,316,10,1000,0.011756951299958018,0.0011712513416771554
KaSim,1,Tiling,1000,10,1000,0.013094508300036977,0.0012350802791461616
KaSim,1,Tiling,3162,10,1000,0.02019767819997469,0.0023555603346021967
KaSim,1,Tiling,10000,10,1000,0.05233910849999575,0.006788097310256533
KaSim,1,Tiling,31623,10,1000,0.1433023515000059,0.008067594297265576
KaSim,1,Tiling,100000,10,1000,0.5151606724999738,0.01879426762128385
KaSim,2,Cyclization,10,10,1000,0.011404248499979985,0.0004901006590247645
KaSim,2,Cyclization,32,10,1000,0.014512064600012309,0.0038904592776111066
KaSim,2,Cyclization,100,10,1000,0.014098178400035976,0.000820219157657848
KaSim,2,Cyclization,316,10,1000,0.01570098360002703,0.0009046325752780387
KaSim,2,Cyclization,1000,10,1000,0.017666196400000445,0.001072425658524349
KaSim,2,Cyclization,3162,10,1000,0.03377250670002922,0.0050002313908480145
KaSim,2,Cyclization,10000,10,1000,0.09623237809998955,0.012728353476042939
KaSim,2,Cyclization,31623,10,1000,0.2798231985000029,0.019888287385839636
KaSim,2,Cyclization,100000,10,1000,1.090569609399995,0.10819990455194957
