CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.441406 1764018019.5323
MEM 26.621094 1764018019.6327
MEM 30.097656 1764018019.7330
MEM 32.781250 1764018019.8333
MEM 34.035156 1764018019.9336
MEM 42.835938 1764018020.0369
MEM 44.191406 1764018020.1372
MEM 46.621094 1764018020.2375
MEM 50.773438 1764018020.3378
MEM 60.093750 1764018020.4381
MEM 71.085938 1764018020.5384
MEM 71.988281 1764018020.6388
MEM 73.027344 1764018020.7391
MEM 82.804688 1764018020.8394
MEM 84.261719 1764018020.9397
MEM 84.886719 1764018021.0400
MEM 85.449219 1764018021.1403
MEM 87.035156 1764018021.2406
MEM 87.449219 1764018021.3409
MEM 89.339844 1764018021.4412
MEM 92.128906 1764018021.5415
MEM 94.875000 1764018021.6418
MEM 102.144531 1764018021.7422
MEM 105.562500 1764018021.8425
MEM 106.414062 1764018021.9428
MEM 106.972656 1764018022.0430
MEM 106.972656 1764018022.1433
MEM 106.972656 1764018022.2436
MEM 107.101562 1764018022.3439
MEM 107.101562 1764018022.4442
MEM 107.371094 1764018022.5445
MEM 107.371094 1764018022.6448
MEM 107.371094 1764018022.7450
MEM 107.371094 1764018022.8453
MEM 107.371094 1764018022.9455
MEM 107.371094 1764018023.0458
MEM 108.484375 1764018023.1461
MEM 111.109375 1764018023.2464
MEM 113.734375 1764018023.3468
MEM 118.359375 1764018023.4471
MEM 118.609375 1764018023.5474
MEM 119.484375 1764018023.6477
MEM 119.609375 1764018023.7480
MEM 120.109375 1764018023.8483
MEM 123.359375 1764018023.9486
MEM 123.859375 1764018024.0490
MEM 123.984375 1764018024.1493
MEM 124.109375 1764018024.2496
MEM 124.109375 1764018024.3499
MEM 124.234375 1764018024.4502
MEM 121.343750 1764018024.5505
