CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.453125 1771122459.5274
MEM 26.648438 1771122459.6278
MEM 29.925781 1771122459.7281
MEM 32.871094 1771122459.8283
MEM 34.429688 1771122459.9286
MEM 42.792969 1771122460.0288
MEM 44.097656 1771122460.1290
MEM 49.410156 1771122460.2293
MEM 53.449219 1771122460.3295
MEM 59.578125 1771122460.4297
MEM 71.371094 1771122460.5300
MEM 72.066406 1771122460.6302
MEM 73.191406 1771122460.7305
MEM 82.441406 1771122460.8308
MEM 83.363281 1771122460.9310
MEM 84.210938 1771122461.0313
MEM 85.093750 1771122461.1316
MEM 86.886719 1771122461.2318
MEM 87.527344 1771122461.3321
MEM 92.992188 1771122461.4323
MEM 93.273438 1771122461.5326
MEM 95.375000 1771122461.6328
MEM 102.308594 1771122461.7331
MEM 105.679688 1771122461.8334
MEM 106.574219 1771122461.9336
MEM 107.179688 1771122462.0338
MEM 107.179688 1771122462.1341
MEM 107.246094 1771122462.2343
MEM 107.246094 1771122462.3345
MEM 111.160156 1771122462.4348
MEM 112.558594 1771122462.5350
MEM 115.746094 1771122462.6353
MEM 118.898438 1771122462.7356
MEM 119.636719 1771122462.8358
MEM 119.835938 1771122462.9361
MEM 120.128906 1771122463.0363
MEM 121.066406 1771122463.1366
MEM 123.968750 1771122463.2368
MEM 124.175781 1771122463.3371
MEM 124.234375 1771122463.4373
MEM 124.277344 1771122463.5375
MEM 124.347656 1771122463.6379
MEM 121.359375 1771122463.7382
