CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python /home/runner/work/pykappa/pykappa/profiling/profile.py --run heterodimerization_small
MEM 0.269531 1787084281.4744
MEM 22.218750 1787084281.5747
MEM 37.605469 1787084281.6764
MEM 53.628906 1787084281.7766
MEM 69.066406 1787084281.8769
MEM 82.832031 1787084281.9772
MEM 92.585938 1787084282.0774
MEM 93.308594 1787084282.1776
MEM 93.406250 1787084282.2778
MEM 94.449219 1787084282.3780
MEM 97.765625 1787084282.4783
MEM 103.222656 1787084282.5785
MEM 106.890625 1787084282.6788
MEM 107.917969 1787084282.7790
MEM 109.289062 1787084282.8793
MEM 110.699219 1787084282.9795
MEM 110.996094 1787084283.0797
MEM 111.390625 1787084283.1799
MEM 111.429688 1787084283.2801
MEM 111.492188 1787084283.3803
MEM 111.515625 1787084283.4807
